endpoint_family	partition	field	rows	missing_rows	missing_fraction
solubility	binary_evidence_catalog	representation_text	2168	0	0
solubility	binary_evidence_catalog	sequence	2168	0	0
solubility	binary_evidence_catalog	source_id	2168	0	0
solubility	binary_evidence_catalog	source_group_ids	2168	0	0
solubility	binary_evidence_catalog	raw_endpoint_detail	2168	0	0
solubility	binary_evidence_catalog	raw_unit	2168	2168	1
solubility	binary_evidence_catalog	normalized_value	2168	0	0
solubility	binary_evidence_catalog	normalized_unit	2168	0	0
solubility	binary_evidence_catalog	raw_species	2168	2168	1
solubility	binary_evidence_catalog	raw_matrix	2168	2168	1
solubility	binary_evidence_catalog	raw_assay	2168	2168	1
solubility	binary_evidence_catalog	raw_route	2168	2168	1
solubility	binary_evidence_catalog	raw_dose	2168	2168	1
solubility	binary_evidence_catalog	raw_timepoint	2168	2168	1
solubility	semantic_review	task_id	231	0	0
solubility	semantic_review	identity_group_id	231	0	0
solubility	semantic_review	representation_text	231	0	0
solubility	semantic_review	sequence	231	0	0
solubility	semantic_review	source_id	231	0	0
solubility	semantic_review	source_group_ids	231	0	0
solubility	semantic_review	raw_endpoint_detail	231	0	0
solubility	semantic_review	raw_unit	231	0	0
solubility	semantic_review	normalized_value	231	0	0
solubility	semantic_review	normalized_unit	231	0	0
solubility	semantic_review	raw_species	231	231	1
solubility	semantic_review	raw_matrix	231	0	0
solubility	semantic_review	raw_assay	231	0	0
solubility	semantic_review	raw_route	231	231	1
solubility	semantic_review	raw_dose	231	231	1
solubility	semantic_review	raw_timepoint	231	231	1
solubility	strict_numeric	task_id	89	0	0
solubility	strict_numeric	identity_group_id	89	0	0
solubility	strict_numeric	representation_text	89	0	0
solubility	strict_numeric	sequence	89	6	0.0674157303371
solubility	strict_numeric	source_id	89	0	0
solubility	strict_numeric	source_group_ids	89	0	0
solubility	strict_numeric	raw_endpoint_detail	89	0	0
solubility	strict_numeric	raw_unit	89	0	0
solubility	strict_numeric	normalized_value	89	0	0
solubility	strict_numeric	normalized_unit	89	0	0
solubility	strict_numeric	raw_species	89	89	1
solubility	strict_numeric	raw_matrix	89	0	0
solubility	strict_numeric	raw_assay	89	0	0
solubility	strict_numeric	raw_route	89	89	1
solubility	strict_numeric	raw_dose	89	89	1
solubility	strict_numeric	raw_timepoint	89	89	1
